3.192743764	428.944	[1] 
3.198548753	433.675	[1] 
3.204353741	437.745	[1] 
3.210158730	438.684	[1] 
3.215963719	438.199	[1] 
3.221768707	442.673	[1] 
3.227573696	443.07	[1] 
3.233378685	441.937	[1] 
3.239183673	443.286	[1] 
3.244988662	442.563	[1] 
3.250793651	441.807	[1] 
3.256598639	441.914	[1] 
3.262403628	442.308	[1] 
3.268208617	441.969	[1] 
3.274013605	441.912	[1] 
3.279818594	441.611	[1] 
3.285623583	441.068	[1] 
3.291428571	441.259	[1] 
3.297233560	441.613	[1] 
3.303038549	442.068	[1] 
3.308843537	441.821	[1] 
3.314648526	441.645	[1] 
3.320453515	441.344	[1] 
3.326258503	441.254	[1] 
3.332063492	441.527	[1] 
3.337868481	442.073	[1] 
3.343673469	441.954	[1] 
3.349478458	441.409	[1] 
3.355283447	441.489	[1] 
3.361088435	441.064	[1] 
3.366893424	440.957	[1] 
3.372698413	441.29	[1] 
3.378503401	441.391	[1] 
3.384308390	441.282	[1] 
3.390113379	440.745	[1] 
3.395918367	441.026	[1] 
3.401723356	441.41	[1] 
3.407528345	441.044	[1] 
3.413333333	441.175	[1] 
3.419138322	441.526	[1] 
3.424943311	440.97	[1] 
3.430748299	440.694	[1] 
3.436553288	441.646	[1] 
3.442358277	441.604	[1] 
3.448163265	441.025	[1] 
3.453968254	441.181	[1] 
3.459773243	440.938	[1] 
3.465578231	440.92	[1] 
3.471383220	440.904	[1] 
3.477188209	441.315	[1] 
3.482993197	441.559	[1] 
3.488798186	441.102	[1] 
3.494603175	440.854	[1] 
3.500408163	441.067	[1] 
3.506213152	441.174	[1] 
3.512018141	441.119	[1] 
3.517823129	441.337	[1] 
3.523628118	441.508	[1] 
3.529433107	441.319	[1] 
3.535238095	441.145	[1] 
3.541043084	441.318	[1] 
3.546848073	441.311	[1] 
3.552653061	441.009	[1] 
3.558458050	440.977	[1] 
3.564263039	441.058	[1] 
3.570068027	440.889	[1] 
3.575873016	440.898	[1] 
3.581678005	441.031	[1] 
3.587482993	441.06	[1] 
3.593287982	440.852	[1] 
3.599092971	440.787	[1] 
3.604897959	441.036	[1] 
3.610702948	440.956	[1] 
3.616507937	440.718	[1] 
3.622312925	440.832	[1] 
3.628117914	440.839	[1] 
3.633922902	440.326	[1] 
3.639727891	440.332	[1] 
3.645532880	440.652	[1] 
3.651337868	440.673	[1] 
3.657142857	440.417	[1] 
3.662947846	440.613	[1] 
3.668752834	440.859	[1] 
3.674557823	440.467	[1] 
3.680362812	440.344	[1] 
3.686167800	440.553	[1] 
3.691972789	440.518	[1] 
3.697777778	440.189	[1] 
3.703582766	440.305	[1] 
3.709387755	440.684	[1] 
3.715192744	440.443	[1] 
3.720997732	440.472	[1] 
3.726802721	440.746	[1] 
3.732607710	442.702	[1] 
3.738412698	470.858	[1] 
3.744217687	490.502	[1] 
3.750022676	496.707	[1] 
3.755827664	499.677	[1] 
3.761632653	499.449	[1] 
3.767437642	497.001	[1] 
3.773242630	494.977	[1] 
3.779047619	494.398	[1] 
3.784852608	494.834	[1] 
3.790657596	495.418	[1] 
3.796462585	495.659	[1] 
3.802267574	494.481	[1] 
3.808072562	495.158	[1] 
3.813877551	496.21	[1] 
3.819682540	495.784	[1] 
3.825487528	496.238	[1] 
3.831292517	993.225	[1] 
3.837097506	1016.49	[1] 
3.842902494	496.46	[1] 
3.848707483	496.512	[1] 
3.854512472	496.357	[1] 
3.860317460	496.95	[1] 
3.866122449	496.077	[1] 
3.871927438	496.069	[1] 
3.877732426	496.099	[1] 
3.883537415	495.48	[1] 
3.889342404	496.162	[1] 
3.895147392	496.174	[1] 
3.900952381	495.813	[1] 
3.906757370	496.022	[1] 
3.912562358	495.788	[1] 
3.918367347	495.528	[1] 
3.924172336	495.954	[1] 
3.929977324	496.125	[1] 
3.935782313	495.992	[1] 
3.941587302	495.936	[1] 
3.947392290	495.905	[1] 
3.953197279	495.533	[1] 
3.959002268	495.546	[1] 
3.964807256	495.654	[1] 
3.970612245	495.7	[1] 
3.976417234	495.638	[1] 
3.982222222	495.705	[1] 
3.988027211	495.562	[1] 
3.993832200	495.621	[1] 
3.999637188	495.786	[1] 
4.005442177	495.841	[1] 
4.011247166	495.862	[1] 
4.017052154	496.081	[1] 
4.022857143	495.85	[1] 
4.028662132	495.949	[1] 
4.034467120	495.876	[1] 
4.040272109	495.686	[1] 
4.046077098	495.567	[1] 
4.051882086	495.573	[1] 
4.057687075	495.712	[1] 
4.063492063	495.76	[1] 
4.069297052	495.542	[1] 
4.075102041	495.904	[1] 
4.080907029	495.694	[1] 
4.086712018	495.66	[1] 
4.092517007	495.863	[1] 
4.098321995	495.7	[1] 
4.104126984	495.707	[1] 
4.109931973	495.693	[1] 
4.115736961	495.654	[1] 
4.121541950	495.797	[1] 
4.127346939	495.713	[1] 
4.133151927	495.664	[1] 
4.138956916	495.604	[1] 
4.144761905	495.43	[1] 
4.150566893	495.568	[1] 
4.156371882	495.537	[1] 
4.162176871	495.542	[1] 
4.167981859	495.672	[1] 
4.173786848	495.776	[1] 
4.179591837	495.663	[1] 
4.185396825	495.712	[1] 
4.191201814	495.659	[1] 
4.197006803	495.365	[1] 
4.202811791	495.465	[1] 
4.208616780	495.184	[1] 
4.214421769	495.271	[1] 
4.220226757	495.324	[1] 
4.226031746	495.374	[1] 
4.231836735	495.499	[1] 
4.237641723	1017.29	[1] 
4.243446712	1007.61	[1] 
4.249251701	1005.4	[1] 
4.255056689	992.874	[1] 
4.260861678	991.952	[1] 
4.266666667	995.224	[1] 
4.272471655	997.388	[1] 
4.278276644	1007.09	[1] 
4.284081633	1008.2	[1] 
4.289886621	493.469	[1] 
4.295691610	512.207	[1] 
4.301496599	517.382	[1] 
4.307301587	527.306	[1] 
4.313106576	528.237	[1] 
4.318911565	526.255	[1] 
4.324716553	526.183	[1] 
4.330521542	524.397	[1] 
4.336326531	524.287	[1] 
4.342131519	525.263	[1] 
4.347936508	525.715	[1] 
4.353741497	525.426	[1] 
4.359546485	524.882	[1] 
4.365351474	524.49	[1] 
4.371156463	524.754	[1] 
4.376961451	525.235	[1] 
4.382766440	525.342	[1] 
4.388571429	525.343	[1] 
4.394376417	524.256	[1] 
4.400181406	524.044	[1] 
4.405986395	524.511	[1] 
4.411791383	524.78	[1] 
4.417596372	525.256	[1] 
4.423401361	525.172	[1] 
4.429206349	524.557	[1] 
4.435011338	524.403	[1] 
4.440816327	524.171	[1] 
4.446621315	524.351	[1] 
4.452426304	524.196	[1] 
4.458231293	523.769	[1] 
4.464036281	523.718	[1] 
4.469841270	523.764	[1] 
4.475646259	523.642	[1] 
4.481451247	523.888	[1] 
4.487256236	523.956	[1] 
4.493061224	524.087	[1] 
4.498866213	524.45	[1] 
4.504671202	524.439	[1] 
4.510476190	524.231	[1] 
4.516281179	523.819	[1] 
4.522086168	523.734	[1] 
4.527891156	523.913	[1] 
4.533696145	523.872	[1] 
4.539501134	524.112	[1] 
4.545306122	523.957	[1] 
4.551111111	523.809	[1] 
4.556916100	523.948	[1] 
4.562721088	523.923	[1] 
4.568526077	524.277	[1] 
4.574331066	524.157	[1] 
4.580136054	524.193	[1] 
4.585941043	524.303	[1] 
4.591746032	524.125	[1] 
4.597551020	524.259	[1] 
4.603356009	524.339	[1] 
4.609160998	524.339	[1] 
4.614965986	524.336	[1] 
4.620770975	524.31	[1] 
4.626575964	524.164	[1] 
4.632380952	523.99	[1] 
4.638185941	524.138	[1] 
4.643990930	524.107	[1] 
4.649795918	524.356	[1] 
4.655600907	524.347	[1] 
4.661405896	524.422	[1] 
4.667210884	524.142	[1] 
4.673015873	524.183	[1] 
4.678820862	524.196	[1] 
4.684625850	524.214	[1] 
4.690430839	524.538	[1] 
4.696235828	524.61	[1] 
4.702040816	524.687	[1] 
4.707845805	524.827	[1] 
4.713650794	524.528	[1] 
4.719455782	524.562	[1] 
4.725260771	524.597	[1] 
4.731065760	524.86	[1] 
4.736870748	524.674	[1] 
4.742675737	524.405	[1] 
4.748480726	524.439	[1] 
4.754285714	524.431	[1] 
4.760090703	524.197	[1] 
4.765895692	524.371	[1] 
4.771700680	524.405	[1] 
4.777505669	524.387	[1] 
4.783310658	524.478	[1] 
4.789115646	524.49	[1] 
4.794920635	524.013	[1] 
4.800725624	524.449	[1] 
4.806530612	524.873	[1] 
4.812335601	524.577	[1] 
4.818140590	524.459	[1] 
4.823945578	525.951	[1] 
4.829750567	528.723	[1] 
4.835555556	525.193	[1] 
4.841360544	524.956	[1] 
4.847165533	524.776	[1] 
4.852970522	524.774	[1] 
4.858775510	524.775	[1] 
4.864580499	525.314	[1] 
4.870385488	524.974	[1] 
4.876190476	524.906	[1] 
4.881995465	529.803	[1] 
4.887800454	529.061	[1] 
4.893605442	528.508	[1] 
4.899410431	525.903	[1] 
4.905215420	535.737	[1] 
4.911020408	535.761	[1] 
4.916825397	525.761	[1] 
4.922630385	529.535	[1] 
4.928435374	530.719	[1] 
4.934240363	542.478	[1] 
4.940045351	531.31	[1] 
4.945850340	531.511	[1] 
4.951655329	531.252	[1] 
